date,repository,stars,timestamp,url
2025-06-04,conda/conda,6928,20250604023648,https://web.archive.org/web/20250604023648id_/https://github.com/conda/conda
2025-06-07,prefix-dev/pixi,4562,20250607123920,https://web.archive.org/web/20250607123920id_/https://github.com/prefix-dev/pixi
2025-07-02,conda/conda,6980,20250702210828,https://web.archive.org/web/20250702210828id_/https://github.com/conda/conda
2025-07-02,mamba-org/mamba,7468,20250702150324,https://web.archive.org/web/20250702150324id_/https://github.com/mamba-org/mamba
2025-07-15,prefix-dev/pixi,4831,20250715025218,https://web.archive.org/web/20250715025218id_/https://github.com/prefix-dev/pixi/
2025-08-04,conda/conda,7015,20250804132923,https://web.archive.org/web/20250804132923id_/https://github.com/conda/conda
2025-08-10,prefix-dev/pixi,4998,20250810131403,https://web.archive.org/web/20250810131403id_/https://github.com/prefix-dev/pixi
2025-08-19,mamba-org/mamba,7592,20250819010052,https://web.archive.org/web/20250819010052id_/https://github.com/mamba-org/mamba
2025-09-03,prefix-dev/pixi,5162,20250903032754,https://web.archive.org/web/20250903032754id_/https://github.com/prefix-dev/pixi
2025-09-05,conda/conda,7082,20250905170032,https://web.archive.org/web/20250905170032id_/https://github.com/conda/conda
2025-09-18,mamba-org/mamba,7645,20250918152615,https://web.archive.org/web/20250918152615id_/https://github.com/mamba-org/mamba
2025-10-03,prefix-dev/pixi,5361,20251003125205,https://web.archive.org/web/20251003125205id_/https://github.com/prefix-dev/pixi
2025-10-06,conda/conda,7122,20251006171653,https://web.archive.org/web/20251006171653id_/https://github.com/conda/conda
2025-11-06,conda/conda,7175,20251106030920,https://web.archive.org/web/20251106030920id_/https://github.com/conda/conda
2025-11-08,mamba-org/mamba,7740,20251108042958,https://web.archive.org/web/20251108042958id_/https://github.com/mamba-org/mamba
2025-12-01,prefix-dev/pixi,5778,20251201040019,https://web.archive.org/web/20251201040019id_/https://github.com/prefix-dev/pixi
2025-12-02,conda/conda,7219,20251202125535,https://web.archive.org/web/20251202125535id_/https://github.com/conda/conda/
2025-12-05,mamba-org/mamba,7808,20251205003114,https://web.archive.org/web/20251205003114id_/https://github.com/mamba-org/mamba
2026-01-01,mamba-org/mamba,7851,20260101062534,https://web.archive.org/web/20260101062534id_/https://github.com/mamba-org/mamba
2026-01-01,prefix-dev/pixi,6008,20260101064207,https://web.archive.org/web/20260101064207id_/https://github.com/prefix-dev/pixi
2026-01-11,conda/conda,7274,20260111205210,https://web.archive.org/web/20260111205210id_/https://github.com/conda/conda/
2026-02-01,prefix-dev/pixi,6269,20260201001911,https://web.archive.org/web/20260201001911id_/https://github.com/prefix-dev/pixi
2026-02-02,conda/conda,7292,20260202094451,https://web.archive.org/web/20260202094451id_/https://github.com/conda/conda
2026-02-07,mamba-org/mamba,7907,20260207125557,https://web.archive.org/web/20260207125557id_/https://github.com/mamba-org/mamba
2026-03-02,conda/conda,7320,20260302091143,https://web.archive.org/web/20260302091143id_/https://github.com/conda/conda/
2026-03-11,prefix-dev/pixi,6544,20260311054625,https://web.archive.org/web/20260311054625id_/https://github.com/prefix-dev/pixi/
2026-03-19,mamba-org/mamba,7961,20260319045339,https://web.archive.org/web/20260319045339id_/https://github.com/mamba-org/mamba
2026-04-04,conda/conda,7357,20260404234437,https://web.archive.org/web/20260404234437id_/https://github.com/conda/conda
2026-04-04,mamba-org/mamba,7981,20260404164938,https://web.archive.org/web/20260404164938id_/https://github.com/mamba-org/mamba
2026-04-07,prefix-dev/pixi,6766,20260407115116,https://web.archive.org/web/20260407115116id_/https://github.com/prefix-dev/pixi
2026-05-02,mamba-org/mamba,8001,20260502004319,https://web.archive.org/web/20260502004319id_/https://github.com/mamba-org/mamba
2026-05-12,conda/conda,7400,20260512014635,https://web.archive.org/web/20260512014635id_/https://github.com/conda/conda
2026-05-27,prefix-dev/pixi,7183,20260527143801,https://web.archive.org/web/20260527143801id_/https://github.com/prefix-dev/pixi
2026-06-01,conda/conda,7418,20260601211352,https://web.archive.org/web/20260601211352id_/https://github.com/conda/conda/
2026-06-05,mamba-org/mamba,8022,20260605075305,https://web.archive.org/web/20260605075305id_/https://github.com/mamba-org/mamba
2026-06-16,prefix-dev/pixi,7285,20260616023544,https://web.archive.org/web/20260616023544id_/https://github.com/prefix-dev/pixi/
